Train_Accuracy,Test_Accuracy
24.600000381469727,32.08000183105469
35.75400161743164,39.59000015258789
40.72999954223633,44.220001220703125
44.5,46.66999816894531
47.465999603271484,48.66999816894531
50.2239990234375,51.54999923706055
52.61600112915039,53.5
54.689998626708984,55.439998626708984
56.43199920654297,53.66999816894531
58.141998291015625,56.52000045776367
59.448001861572266,59.38999938964844
60.99800109863281,60.540000915527344
62.50600051879883,59.189998626708984
63.2140007019043,63.70000076293945
64.68399810791016,61.95000076293945
65.80400085449219,64.8499984741211
66.45999908447266,64.27999877929688
67.44999694824219,65.51000213623047
68.37799835205078,65.94999694824219
69.06400299072266,68.55000305175781
69.78800201416016,68.91000366210938
70.7300033569336,70.18000030517578
71.4800033569336,68.55000305175781
72.24600219726562,71.27999877929688
72.62200164794922,69.16999816894531
73.31600189208984,71.16000366210938
73.90599822998047,71.76000213623047
74.7020034790039,73.30000305175781
75.30400085449219,72.70999908447266
75.5479965209961,72.8499984741211
76.50800323486328,73.62000274658203
76.67400360107422,74.9800033569336
77.23999786376953,75.72000122070312
77.74400329589844,74.83999633789062
77.95999908447266,75.0999984741211
78.48999786376953,75.66000366210938
78.96600341796875,76.22000122070312
79.4260025024414,77.5
79.80999755859375,76.44999694824219
80.16400146484375,76.7699966430664
80.30599975585938,77.98999786376953
80.62200164794922,78.41999816894531
81.25,78.5999984741211
81.6760025024414,78.26000213623047
81.49800109863281,77.77999877929688
82.20999908447266,78.75
82.72200012207031,78.30999755859375
82.68399810791016,77.13999938964844
82.87999725341797,80.55000305175781
83.29000091552734,78.0199966430664
83.49600219726562,78.6500015258789
83.88400268554688,79.25
83.94400024414062,73.13999938964844
84.25399780273438,79.1500015258789
84.35600280761719,80.62999725341797
84.78800201416016,80.7300033569336
84.68000030517578,81.45999908447266
85.2040023803711,79.83999633789062
85.27400207519531,80.29000091552734
85.54199981689453,79.75
85.64800262451172,81.41000366210938
86.0459976196289,79.86000061035156
86.19999694824219,81.30999755859375
86.29199981689453,81.37000274658203
86.41600036621094,81.41000366210938
86.7300033569336,81.73999786376953
86.8759994506836,82.06999969482422
87.0260009765625,82.30000305175781
87.19599914550781,82.9800033569336
87.62799835205078,83.0199966430664
87.54399871826172,81.73999786376953
87.69999694824219,81.23999786376953
88.06999969482422,80.80999755859375
88.14600372314453,80.66999816894531
88.46800231933594,82.08000183105469
88.61599731445312,81.04000091552734
88.79199981689453,83.0199966430664
88.91799926757812,82.9000015258789
88.86799621582031,83.30000305175781
89.13999938964844,83.52999877929688
89.16200256347656,83.51000213623047
89.36199951171875,84.11000061035156
89.7020034790039,82.80000305175781
89.85399627685547,82.63999938964844
89.802001953125,81.30000305175781
89.9020004272461,83.73999786376953
90.27200317382812,84.3499984741211
90.25199890136719,83.31999969482422
90.41600036621094,83.37999725341797
90.39800262451172,82.51000213623047
90.53399658203125,82.5
90.7020034790039,83.86000061035156
90.94000244140625,84.5
91.1780014038086,83.87000274658203
91.22599792480469,84.3499984741211
91.11199951171875,83.5199966430664
91.52200317382812,84.05000305175781
91.58399963378906,83.8499984741211
91.76799774169922,85.12000274658203
91.7959976196289,84.66999816894531
91.79000091552734,84.68000030517578
91.8479995727539,84.4000015258789
92.08999633789062,83.3499984741211
92.29199981689453,84.68000030517578
92.18000030517578,84.05999755859375
92.28199768066406,84.51000213623047
92.45600128173828,84.19000244140625
92.697998046875,84.0199966430664
92.72000122070312,83.7699966430664
92.93199920654297,83.7699966430664
93.04000091552734,84.54000091552734
92.99800109863281,84.23999786376953
93.05999755859375,84.75
93.2979965209961,83.43000030517578
93.23600006103516,85.08999633789062
93.39800262451172,83.87999725341797
93.44000244140625,84.94000244140625
93.52400207519531,85.0999984741211
93.94000244140625,83.63999938964844
93.9000015258789,85.3499984741211
94.01000213623047,84.55999755859375
94.06199645996094,84.44999694824219
94.0479965209961,83.86000061035156
94.1719970703125,84.66999816894531
94.18199920654297,83.37999725341797
94.302001953125,84.5999984741211
94.36599731445312,84.54000091552734
94.44999694824219,85.2300033569336
94.53800201416016,83.83000183105469
94.60199737548828,84.6500015258789
94.76399993896484,85.12999725341797
94.88600158691406,85.87999725341797
94.75599670410156,85.2699966430664
94.87000274658203,84.23999786376953
96.14399719238281,86.9000015258789
96.33999633789062,86.97000122070312
96.302001953125,86.79000091552734
96.50599670410156,86.95999908447266
96.43199920654297,86.68000030517578
96.4540023803711,86.83000183105469
96.64199829101562,86.81999969482422
96.52999877929688,86.77999877929688
96.50800323486328,86.6500015258789
96.61000061035156,86.77999877929688
96.5459976196289,87.08999633789062
96.6500015258789,86.97000122070312
96.63600158691406,86.91000366210938
96.63200378417969,86.80000305175781
96.59400177001953,86.7699966430664
96.55400085449219,86.94000244140625
96.66600036621094,86.83000183105469
96.802001953125,86.83999633789062
96.77799987792969,86.77999877929688
96.69999694824219,86.88999938964844
96.68800354003906,86.72000122070312
96.81800079345703,86.88999938964844
96.72200012207031,86.88999938964844
96.73799896240234,86.83000183105469
96.7020034790039,86.77999877929688
96.86000061035156,86.81999969482422
96.75800323486328,86.81999969482422
96.73600006103516,86.83999633789062
96.80400085449219,86.86000061035156
96.87999725341797,86.79000091552734
96.86000061035156,86.8499984741211
96.96600341796875,86.75
96.91400146484375,86.91999816894531
96.8239974975586,86.86000061035156
96.90599822998047,86.62999725341797
97.01200103759766,86.8499984741211
96.88200378417969,86.79000091552734
96.80599975585938,86.95999908447266
96.86199951171875,86.79000091552734
96.91799926757812,86.93000030517578
97.01799774169922,86.86000061035156
96.93000030517578,86.68000030517578
96.94999694824219,86.70999908447266
96.96800231933594,86.6500015258789
97.06199645996094,86.79000091552734
96.94599914550781,86.76000213623047
97.03600311279297,86.83000183105469
97.03800201416016,86.88999938964844
97.06800079345703,86.81999969482422
96.93000030517578,86.7300033569336
97.06600189208984,86.87000274658203
97.08599853515625,86.7699966430664
97.20999908447266,86.94000244140625
97.12799835205078,86.91000366210938
97.16600036621094,86.86000061035156
97.16999816894531,86.87999725341797
97.05799865722656,86.80999755859375
97.0459976196289,86.83999633789062
97.16799926757812,86.81999969482422
97.0999984741211,86.86000061035156
97.05799865722656,86.88999938964844
97.22599792480469,86.91000366210938
97.12999725341797,86.83000183105469
97.13200378417969,86.83000183105469
97.10199737548828,86.87999725341797
97.16600036621094,86.91000366210938
